total_calls,high_priority,medium_priority,low_priority,gridid,objectid,Shape__Area,Shape__Length
3173,247,948,1978,882a1349b3fffff,289,1247795.375,4161.46028877769
201,36,64,101,882a1349b7fffff,290,1247939.55859375,4161.69897015375
173,8,63,102,882a1349b9fffff,291,1248602.0078125,4162.79644307382
1694,109,471,1114,882a1349bbfffff,292,1248126.6796875,4162.00925461662
2369,236,759,1374,882a1349d1fffff,293,1249457.96875,4164.214885746
4086,250,1010,2826,882a1349d3fffff,294,1248980.7890625,4163.42489212865
1646,90,617,939,882a1349d7fffff,295,1249125.390625,4163.6641252783
1530,92,443,995,882a1349d9fffff,296,1249789.61328125,4164.76398974771
4833,276,1020,3537,882a1349dbfffff,297,1249312.61328125,4163.9743888095
4,1,1,2,882a134a03fffff,298,1253582.11328125,4171.03855211587
2298,159,784,1355,882a134a07fffff,299,1253728.1171875,4171.27965869263
225,6,96,123,882a134a11fffff,300,1252957.82421875,4170.00683407144
3425,193,891,2341,882a134a13fffff,301,1252479.95703125,4169.21673425417
4590,369,1105,3116,882a134a15fffff,302,1253104.05078125,4170.24836485442
3919,338,1173,2408,882a134a17fffff,303,1252626.08203125,4169.45815038191
4225,377,1323,2525,882a134a21fffff,304,1254020.58203125,4171.76260340103
3218,243,918,2057,882a134a23fffff,305,1253542.3203125,4170.97222178342
603,43,174,386,882a134a25fffff,306,1254166.25390625,4172.00314292841
2587,228,834,1525,882a134a27fffff,307,1253688.35546875,4171.21337215583
229,8,96,125,882a134a29fffff,308,1254352.734375,4172.31163609642
4014,284,1269,2461,882a134a2bfffff,309,1253874.296875,4171.52103381799
1237,83,372,782,882a134a2dfffff,310,1254498.83203125,4172.55282820415
5753,564,1797,3392,882a134a31fffff,311,1252918.2578125,4169.94084352981
10865,942,3009,6914,882a134a33fffff,312,1252440.70703125,4169.15125931287
4218,336,1300,2582,882a134a35fffff,313,1253064.33203125,4170.18214260496
2078,151,617,1310,882a134a37fffff,314,1252586.85546875,4169.39273914747
9441,774,2456,6211,882a134a39fffff,315,1253250.07421875,4170.4895451669
7229,701,2259,4269,882a134a3bfffff,316,1252772.30859375,4169.69972671339
9051,467,1829,6755,882a134a3dfffff,317,1253396.25390625,4170.73098986245
10770,746,2882,7142,882a134a81fffff,318,1250717.06640625,4166.30071110171
2420,136,773,1511,882a134a83fffff,319,1250240.26171875,4165.51172014503
9840,1031,3027,5782,882a134a85fffff,320,1250863.04296875,4166.54202734765
9486,1011,2518,5957,882a134a87fffff,321,1250386.28125,4165.75314455897
7958,732,2270,4956,882a134a89fffff,322,1251047.70703125,4166.84794366482
8736,807,2253,5676,882a134a8bfffff,323,1250571.12890625,4166.05943345288
8765,897,2781,5087,882a134a8dfffff,324,1251194.2109375,4167.09010388665
4238,343,1310,2585,882a134a91fffff,325,1249618.0234375,4164.48206042163
22001,1649,5249,15103,882a134a93fffff,326,1249142.89453125,4163.69536120078
3376,109,901,2366,882a134a95fffff,327,1249763.9375,4164.72337824401
17084,1673,5297,10114,882a134a97fffff,328,1249288.4296875,4163.9361908318
9416,540,2162,6714,882a134a99fffff,329,1249948.359375,4165.02903458535
9795,1055,3424,5316,882a134a9bfffff,330,1249471.87109375,4164.24031296588
2808,278,864,1666,882a134a9dfffff,331,1250094.27734375,4165.27032402755
10479,1066,3495,5918,882a134aa1fffff,332,1250677.9921875,4166.2354728318
13904,1530,4498,7876,882a134aa3fffff,333,1250201.64453125,4165.44721244659
8398,935,2745,4718,882a134aa5fffff,334,1250823.6015625,4166.47620597229
1955,227,493,1235,882a134aa7fffff,335,1250347.0078125,4165.6875971179
22730,1364,3827,17539,882a134aa9fffff,336,1251009.02734375,4166.78337359715
9133,704,3405,5024,882a134aabfffff,337,1250532.12109375,4165.99429969952
9141,614,2032,6495,882a134aadfffff,338,1251154.7890625,4167.02432426509
8746,698,2220,5828,882a134ab1fffff,339,1249579.3984375,4164.41751524021
12131,1132,4090,6909,882a134ab3fffff,340,1249103.90234375,4163.63027784926
18120,1630,5503,10987,882a134ab5fffff,341,1249724.9765625,4164.65833345518
9909,1119,3354,5436,882a134ab7fffff,342,1249249.06640625,4163.87042915601
3017,208,985,1824,882a134ab9fffff,343,1249909.91796875,4164.96481021138
12268,1104,3398,7766,882a134abbfffff,344,1249433.8828125,4164.17685687818
12796,1336,3432,8028,882a134abdfffff,345,1250055.74609375,4165.20595855266
3507,238,942,2327,882a134ac1fffff,346,1251855.87890625,4168.18496377272
6722,809,2159,3754,882a134ac3fffff,347,1251378.91015625,4167.39602618325
8694,685,2275,5734,882a134ac5fffff,348,1252002.1640625,4168.42667631775
6306,693,1820,3793,882a134ac7fffff,349,1251525.15234375,4167.63772865016
3934,351,1171,2412,882a134ac9fffff,350,1252187.22265625,4168.73310582941
5074,438,1393,3243,882a134acbfffff,351,1251709.6015625,4167.94321691139
1730,128,539,1063,882a134acdfffff,352,1252333.5703125,4168.97488745843
4718,370,1759,2589,882a134ad1fffff,353,1250755.50390625,4166.36488764856
5225,757,1468,3000,882a134ad3fffff,354,1250278.55859375,4165.57568831562
4739,429,1617,2693,882a134ad5fffff,355,1250901.79296875,4166.60673225453
853,57,296,500,882a134ad7fffff,356,1250424.71875,4165.81734264107
8217,1057,2564,4596,882a134ad9fffff,357,1251085.8828125,4166.91169561853
11981,1061,3310,7610,882a134adbfffff,358,1250608.97265625,4166.12262485485
5413,488,1806,3119,882a134addfffff,359,1251232.421875,4167.15390594128
12901,1146,3526,8229,882a134ae1fffff,360,1251817.265625,4168.12048504334
7338,589,1957,4792,882a134ae3fffff,361,1251340.05859375,4167.33114961318
9961,990,2595,6376,882a134ae5fffff,362,1251963.22265625,4168.36168681527
9876,373,2282,7221,882a134ae7fffff,363,1251485.88671875,4167.57222584051
4272,409,1337,2526,882a134ae9fffff,364,1252148.7109375,4168.66883815137
7049,638,2084,4327,882a134aebfffff,365,1251671.15625,4167.87904767838
6837,589,2103,4145,882a134aedfffff,366,1252294.61328125,4168.90989898597
36,1,8,27,882a134b01fffff,367,1255082.2578125,4173.51589882111
225,5,71,149,882a134b03fffff,368,1254603.76953125,4172.72543713902
209,2,42,165,882a134b07fffff,369,1254749.73046875,4172.96641010828
2129,118,764,1247,882a134b11fffff,370,1253979.921875,4171.69486023373
1232,115,364,753,882a134b13fffff,371,1253501.796875,4170.90464159366
1596,48,517,1031,882a134b15fffff,372,1254125.3125,4171.93490449627
354,7,99,248,882a134b17fffff,373,1253647.296875,4171.14495998193
182,4,35,143,882a134b19fffff,374,1254312.37109375,4172.24437817381
2321,189,659,1473,882a134b1bfffff,375,1253833.96875,4171.45383786907
1007,18,232,757,882a134b1dfffff,376,1254458.08984375,4172.48495662257
127,8,30,89,882a134b31fffff,377,1253938.23046875,4171.62538837427
265,13,87,165,882a134b33fffff,378,1253460.296875,4170.83552873024
194,24,36,134,882a134b35fffff,379,1254083.72265625,4171.86564697208
822,36,279,507,882a134b37fffff,380,1253605.48828125,4171.07527977395
445,8,130,307,882a134b39fffff,381,1254271.10546875,4172.17563759722
35,0,14,21,882a134b3bfffff,382,1253792.7734375,4171.38520215062
70,0,5,65,882a134b3dfffff,383,1254416.57421875,4172.41579458238
0,0,0,0,882a134c25fffff,384,1244171.71875,4155.45622356011
32,0,0,32,882a134c27fffff,385,1243698.18359375,4154.67066661201
8526,523,2292,5711,882a134d01fffff,386,1245079.42578125,4156.9611388776
14747,1160,4869,8718,882a134d03fffff,387,1244605.515625,4156.17525278464
10852,728,2967,7157,882a134d05fffff,388,1245223.80859375,4157.20039287227
13374,1023,4331,8020,882a134d07fffff,389,1244749.94921875,4156.41460210762
9053,635,2680,5738,882a134d09fffff,390,1245408.93359375,4157.50769329706
11739,752,2567,8420,882a134d0bfffff,391,1244934.69921875,4156.72133595429
10814,937,3335,6542,882a134d0dfffff,392,1245553.234375,4157.74675294424
3404,210,925,2269,882a134d11fffff,393,1243987.3671875,4155.15010356411
469,15,34,420,882a134d13fffff,394,1243514.11328125,4154.36491945429
8755,717,2637,5401,882a134d15fffff,395,1244131.8828125,4155.38962935875
1188,57,328,803,882a134d17fffff,396,1243658.47265625,4154.60424400377
1254,147,430,677,882a134d19fffff,397,1244316.31640625,4155.6959100623
1360,65,337,958,882a134d1bfffff,398,1243842.98046875,4154.91072779529
8971,698,2457,5816,882a134d1dfffff,399,1244461.33203125,4155.9362687517
5502,374,1313,3815,882a134d21fffff,400,1245038.4453125,4156.89268508246
4808,477,1672,2659,882a134d23fffff,401,1244564.72265625,4156.10704441558
8439,12,81,8346,882a134d25fffff,402,1245182.8828125,4157.13201449716
39,1,13,25,882a134d27fffff,403,1244709.0078125,4156.34617114093
10139,1003,3388,5748,882a134d29fffff,404,1245368.125,4157.43951097817
11731,1017,3110,7604,882a134d2bfffff,405,1244894.4453125,4156.65406483894
8291,589,2595,5107,882a134d2dfffff,406,1245512.4296875,4157.67857913923
3707,303,1017,2387,882a134d31fffff,407,1243947.11328125,4155.08278711083
2059,61,524,1474,882a134d33fffff,408,1243473.9921875,4154.29782869561
997,38,268,691,882a134d35fffff,409,1244091.1953125,4155.32164173788
835,40,231,564,882a134d37fffff,410,1243618.11328125,4154.53677964862
7654,600,2276,4778,882a134d39fffff,411,1244276.33984375,4155.62908497235
3322,120,797,2405,882a134d3bfffff,412,1243803.02734375,4154.84391654098
5538,1014,1657,2867,882a134d3dfffff,413,1244420.66796875,4155.86831477696
18877,1667,5684,11526,882a134d41fffff,414,1246212.5703125,4158.84008854643
8716,800,2644,5272,882a134d43fffff,415,1245738.16015625,4158.05367873082
54774,3813,17197,33764,882a134d45fffff,416,1246357.50390625,4159.08014112767
12638,1002,4010,7626,882a134d47fffff,417,1245883.2109375,4158.2939897725
8709,419,2489,5801,882a134d49fffff,418,1246542.5234375,4159.38710369274
6414,447,2012,3955,882a134d4bfffff,419,1246067.8515625,4158.60037278788
30754,496,3784,26474,882a134d4dfffff,420,1246687.2421875,4159.62674286788
0,0,0,0,882a134d51fffff,421,1245119.29296875,4157.02777472032
0,0,0,0,882a134d53fffff,422,1244645.47265625,4156.24204146627
4848,276,1582,2990,882a134d55fffff,423,1245264.29296875,4157.26803086137
4564,739,1516,2309,882a134d57fffff,424,1244790.03125,4156.48160507286
403,15,118,270,882a134d5dfffff,425,1245593.39453125,4157.81387286745
9035,1358,2871,4806,882a134d61fffff,426,1246172.23828125,4158.77269954437
8053,545,2004,5504,882a134d63fffff,427,1245697.9921875,4157.98658501062
6604,108,1409,5087,882a134d65fffff,428,1246316.5703125,4159.01176767182
3119,128,590,2401,882a134d67fffff,429,1245842.27734375,4158.22558231646
31199,2718,9680,18801,882a134d69fffff,430,1246502.17578125,4159.31971280792
18163,1478,5245,11440,882a134d6bfffff,431,1246027.68359375,4158.53328724249
7573,361,1920,5292,882a134d6dfffff,432,1246646.9921875,4159.5595491038
0,0,0,0,882a134d8dfffff,433,1242239.71875,4152.24972313288
0,0,0,0,882a134da5fffff,434,1241870.85546875,4151.63662304732
0,0,0,0,882a134da9fffff,435,1242055.3046875,4151.94319798197
0,0,0,0,882a134dadfffff,436,1242199.6171875,4152.18261123567
0,0,0,0,882a134dc1fffff,437,1242896.70703125,4153.34054744498
26,0,1,25,882a134dc5fffff,438,1243041.06640625,4153.57996246664
0,0,0,0,882a134dc7fffff,439,1242567.98046875,4152.7947596128
6,1,0,5,882a134dcdfffff,440,1243369.71875,4154.12550595897
33,3,4,26,882a134de1fffff,441,1242856.65625,4153.27354905764
4,1,0,3,882a134de3fffff,442,1242383.99609375,4152.48905502613
943,24,215,704,882a134de5fffff,443,1243000.7890625,4153.51257253928
130,8,47,75,882a134de7fffff,444,1242528.16796875,4152.72817221589
604,15,77,512,882a134de9fffff,445,1243185.47265625,4153.8194363649
35,3,11,21,882a134debfffff,446,1242712.62109375,4153.03467309975
1558,25,214,1319,882a134dedfffff,447,1243329.7109375,4154.05857446443
0,0,0,0,882a134f01fffff,448,1247386.39453125,4160.78611755025
2446,116,713,1617,882a134f05fffff,449,1247531.88671875,4161.02697099965
0,0,0,0,882a134f07fffff,450,1247056.796875,4160.23985456052
39,3,15,21,882a134f09fffff,451,1247716.24609375,4161.33274150379
3002,192,653,2157,882a134f0dfffff,452,1247861.6484375,4161.57340100614
14161,1177,4582,8402,882a134f21fffff,453,1247347.2109375,4160.72069422996
3775,350,1027,2398,882a134f23fffff,454,1246872.23046875,4159.933641039
12321,753,3107,8461,882a134f25fffff,455,1247492.1640625,4160.96063402018
8283,580,2545,5158,882a134f27fffff,456,1247017.16796875,4160.17366309264
6823,486,1965,4372,882a134f29fffff,457,1247677.1328125,4161.26743165578
2236,167,451,1618,882a134f2bfffff,458,1247201.96875,4160.48021180994
7785,785,1835,5165,882a134f2dfffff,459,1247822.46484375,4161.5079985371
0,0,0,0,882a134f35fffff,460,1246397.46484375,4159.14688191907
4165,349,1506,2310,882a134f41fffff,461,1248521.5546875,4162.66670072886
503,10,70,423,882a134f43fffff,462,1248045.9375,4161.87899967333
10746,784,3302,6660,882a134f45fffff,463,1248667.34375,4162.90795755331
5820,583,1949,3288,882a134f47fffff,464,1248191.89453125,4162.12057108261
1349,50,319,980,882a134f49fffff,465,1248851.53515625,4163.21330810013
255,15,90,150,882a134f4bfffff,466,1248375.95703125,4162.42578413477
8133,911,3255,3967,882a134f4dfffff,467,1248997.75,4163.45521670866
0,0,0,0,882a134f55fffff,468,1247570.69140625,4161.09178129087
0,0,0,0,882a134f59fffff,469,1247754.53125,4161.39668723666
0,0,0,0,882a134f5dfffff,470,1247900.2890625,4161.63796037577
13226,1099,5360,6767,882a134f61fffff,471,1248482.79296875,4162.60197746602
7523,879,2873,3771,882a134f63fffff,472,1248007.17578125,4161.81430617512
15715,1421,5139,9155,882a134f65fffff,473,1248628.04296875,4162.84232622949
10424,1302,3111,6011,882a134f67fffff,474,1248152.5390625,4162.05488432398
23283,2380,8963,11940,882a134f69fffff,475,1248813.0625,4163.14908248154
7479,850,2569,4060,882a134f6bfffff,476,1248337.08203125,4162.36086528155
19949,1817,6273,11859,882a134f6dfffff,477,1248958.578125,4163.38982607458
0,0,0,0,882a1351a7fffff,478,1257310.57421875,4177.19998643852
0,0,0,0,882a1351b1fffff,479,1256534.0390625,4175.9185987597
114,5,53,56,882a1351b3fffff,480,1256054.02734375,4175.1261059277
39,2,18,19,882a1351b5fffff,481,1256682.16796875,4176.16293190247
51,7,12,32,882a1351b7fffff,482,1256202.43359375,4175.37094642341
0,0,0,0,882a1351bbfffff,483,1256385.50390625,4175.67356833936
12,0,4,8,882a135891fffff,484,1255279.47265625,4173.84449289128
217,6,79,132,882a135893fffff,485,1254800.5625,4173.05343552673
178,9,58,111,882a135899fffff,486,1255611.47265625,4174.39304878288
328,14,97,217,882a13589bfffff,487,1255132.45703125,4173.6018740885
228,8,60,160,882a1358d3fffff,488,1255943.2734375,4174.9411460802
265,10,42,213,882a1358dbfffff,489,1256275.1171875,4175.48927956919
145,8,49,88,882a135a91fffff,490,1257603.69921875,4177.68302122315
2948,112,862,1974,882a135a93fffff,491,1257123.42578125,4176.89044080162
725,28,220,477,882a135a97fffff,492,1257271.578125,4177.13473102812
415,62,136,217,882a135a9bfffff,493,1257455.88671875,4177.43937976814
0,0,0,0,882aacb01bfffff,494,1242542.2109375,4152.74929182354
186,10,52,124,882aacb05bfffff,495,1243673.85546875,4154.62759815396
454,0,28,426,882aacb0c9fffff,496,1241926.828125,4151.72794625151
1,0,0,1,882aacb0cdfffff,497,1242069.87890625,4151.96520582511
9703,907,2960,5836,882aacb201fffff,498,1246088.73828125,4158.63330616608
3177,224,956,1997,882aacb203fffff,499,1245614.75390625,4157.84755473957
5100,181,605,4314,882aacb205fffff,500,1246230.43359375,4158.86771857913
325,15,98,212,882aacb207fffff,501,1245757.57421875,4158.08399252394
13065,1294,3657,8114,882aacb209fffff,502,1246419.13671875,4159.18108125034
12576,971,3367,8238,882aacb20bfffff,503,1245944.671875,4158.39464597662
12913,1089,3624,8200,882aacb20dfffff,504,1246563.140625,4159.41956385529
6092,608,2033,3451,882aacb211fffff,505,1244996.7578125,4156.82302318889
3844,268,1129,2447,882aacb213fffff,506,1244523.37890625,4156.03796794917
9882,1147,2963,5772,882aacb215fffff,507,1245140.8125,4157.06172115493
12441,1287,3821,7333,882aacb217fffff,508,1244667.09375,4156.27613897665
4662,563,1419,2680,882aacb219fffff,509,1245326.76953125,4157.3704482154
23,1,11,11,882aacb21bfffff,510,1244853.01171875,4156.58482428266
14133,1355,3735,9043,882aacb21dfffff,511,1245470.76171875,4157.60900319907
1546,135,670,741,882aacb233fffff,512,1244478.796875,4155.96326926705
631,44,206,381,882aacb239fffff,513,1245284.234375,4157.29936594872
8406,653,2005,5748,882aacb23bfffff,514,1244810.76953125,4156.51429085606
22196,1802,4671,15723,882aacb241fffff,515,1247224.3046875,4160.51551258169
13649,1399,4959,7291,882aacb243fffff,516,1246749.76171875,4159.72917943126
42998,1989,4482,36527,882aacb245fffff,517,1247368.32421875,4160.75390248474
17405,1686,4812,10907,882aacb247fffff,518,1246893.59375,4159.96735936865
8758,1003,2799,4956,882aacb249fffff,519,1247554.91015625,4161.06338166283
9926,637,2344,6945,882aacb24bfffff,520,1247079.97265625,4160.27651298589
14693,1467,3857,9369,882aacb24dfffff,521,1247699.26171875,4161.30235998324
5781,332,1699,3750,882aacb251fffff,522,1246130.85546875,4158.70361009427
8428,109,582,7737,882aacb253fffff,523,1245656.67578125,4157.91757298464
5888,549,1940,3399,882aacb255fffff,524,1246275.12109375,4158.94258184796
8484,812,2514,5158,882aacb257fffff,525,1245800.75,4158.15623179861
7514,305,1775,5434,882aacb259fffff,526,1246461.1953125,4159.25130978654
1204,15,322,867,882aacb25bfffff,527,1245986.80078125,4158.4649764596
10926,962,3404,6560,882aacb25dfffff,528,1246605.2265625,4159.48981109508
16,4,5,7,882aacb261fffff,529,1247177.24609375,4160.43654714791
1294,92,424,778,882aacb263fffff,530,1246703.23046875,4159.65124035049
33,0,4,29,882aacb265fffff,531,1247320.7734375,4160.67407902964
10152,1171,3262,5719,882aacb269fffff,532,1247511.4921875,4160.99081476816
16035,1292,4768,9975,882aacb26bfffff,533,1247037.578125,4160.20574845248
1709,110,530,1069,882aacb26dfffff,534,1247651.63671875,4161.22239298852
621,5,100,516,882aacb281fffff,535,1242774.3828125,4153.13597147502
216,0,50,166,882aacb283fffff,536,1242302.08984375,4152.35203669516
1600,29,340,1231,882aacb285fffff,537,1242918.05078125,4153.37425597151
1032,43,321,668,882aacb287fffff,538,1242445.56640625,4152.59003683787
233,7,72,154,882aacb289fffff,539,1243103.65625,4153.68261138789
492,1,9,482,882aacb28bfffff,540,1242631.140625,4152.89841154354
267,7,122,138,882aacb28dfffff,541,1243247.625,4153.92134302306
0,0,0,0,882aacb291fffff,542,1241686.16796875,4151.3296505219
32,0,2,30,882aacb295fffff,543,1241829.7421875,4151.56789514427
0,0,0,0,882aacb297fffff,544,1241357.6328125,4150.78395477606
0,0,0,0,882aacb299fffff,545,1242014.9140625,4151.87564395342
8,0,2,6,882aacb29dfffff,546,1242158.2265625,4152.11339712082
1071,91,416,564,882aacb2a1fffff,547,1242730.13671875,4153.06178753561
1595,74,368,1153,882aacb2a3fffff,548,1242258.96875,4152.27978285444
17,3,1,13,882aacb2a5fffff,549,1242871.50390625,4153.29600327056
0,0,0,0,882aacb2a7fffff,550,1242398.63671875,4152.51116131998
2079,225,869,985,882aacb2a9fffff,551,1243061.42578125,4153.61201825584
380,5,13,362,882aacb2abfffff,552,1242588.93359375,4152.82781549783
2190,167,710,1313,882aacb2adfffff,553,1243201.40234375,4153.8438341734
0,0,0,0,882aacb2b1fffff,554,1241644.015625,4151.2591637989
1962,6,45,1911,882aacb2b5fffff,555,1241787.34375,4151.4969184001
45,2,30,13,882aacb2b9fffff,556,1241973.2421875,4151.80593907027
1411,5,23,1383,882aacb2bdfffff,557,1242116.5390625,4152.04368824371
0,0,0,0,882aacb2c1fffff,558,1243906.21875,4155.01440864685
237,8,53,176,882aacb2c3fffff,559,1243432.7421875,4154.22886196328
874,43,229,602,882aacb2c5fffff,560,1244049.82421875,4155.25247849437
0,0,0,0,882aacb2c7fffff,561,1243576.59375,4154.46735178062
0,0,0,0,882aacb2c9fffff,562,1244235.3046875,4155.56049830105
1820,162,789,869,882aacb2cbfffff,563,1243762.13671875,4154.7755387803
1187,77,558,552,882aacb2cdfffff,564,1244379.421875,4155.79938248617
590,5,4,581,882aacb2d1fffff,565,1242816.14453125,4153.20576967287
59,0,3,56,882aacb2d3fffff,566,1242343.29296875,4152.42097416473
72,0,0,72,882aacb2d5fffff,567,1242959.83203125,4153.44407366777
244,0,0,244,882aacb2d7fffff,568,1242487.15234375,4152.65958373571
357,0,14,343,882aacb2d9fffff,569,1243144.9296875,4153.7516354489
301,5,65,231,882aacb2dbfffff,570,1242672.19140625,4152.96704152954
285,14,62,209,882aacb2ddfffff,571,1243288.89453125,4153.99034383808
3426,237,946,2243,882aacb2e1fffff,572,1243864.046875,4154.94392871641
1600,189,495,916,882aacb2e3fffff,573,1243390.87109375,4154.15887454461
6623,286,1127,5210,882aacb2e5fffff,574,1244006.5859375,4155.18007460735
6113,557,1700,3856,882aacb2e7fffff,575,1243534.1015625,4154.39633068126
4954,539,1452,2963,882aacb2e9fffff,576,1244193.515625,4155.49065769119
1824,35,324,1465,882aacb2ebfffff,577,1243720.45703125,4154.70589883286
7399,720,2523,4156,882aacb2edfffff,578,1244337.33984375,4155.72905436186
0,0,0,0,882aacb359fffff,579,1247464.66796875,4160.91228062634
